product_id,sellers_price,avg_revenue_monday,avg_revenue_tuesday,avg_revenue_wednesday,avg_revenue_thursday,avg_revenue_friday,avg_revenue_saturday,avg_revenue_sunday,avg_demand_monday_perc,avg_demand_tuesday_perc,avg_demand_wednesday_perc,avg_demand_thursday_perc,avg_demand_friday_perc,avg_demand_saturday_perc,avg_demand_sunday_perc,seasonal_price_increase_perc,seller_trust_increase_perc,price_elasticity,p
1,4.92,210.2,391.94,122.84,194.44,377.32,159.52,229.48,0.72,0.99,1.25,0.74,0.93,0.69,1.46,0.23,0.02,0.23,0.02
2,8.02,597.85,290.54,166.59,360.61,984.22,838.69,56.48,1.21,0.76,0.83,0.65,1.24,0.68,1.15,0.18,0.01,0.4,0.01
3,1.36,668.91,853.05,754.71,973.36,948.19,487.44,887.56,1.43,0.89,1.21,0.59,1.1,1.37,1.1,0.09,0.15,0.46,-0.05
4,15.92,291.11,988.26,99.84,663.83,327.87,605.21,279.11,1.46,0.7,1.35,1.31,1.07,0.69,0.81,0.06,0.05,0.13,-0.05
5,14.57,773.84,195.97,474.57,467.43,471.49,329.82,690.26,0.87,0.93,0.53,0.55,1.39,1.38,1.1,0.11,0.01,0.33,0.05
6,9.94,150.3,81.88,329.16,294.79,251.09,488.44,660.77,0.76,0.96,0.52,1.11,1.34,1.15,1.46,0.23,0.13,0.24,0.02
7,2.21,851.39,170.94,261.3,91.62,438.84,631.87,921.1,0.97,0.66,1.08,1.27,0.6,1.25,1.34,0.05,0.14,0.87,-0.02
8,12.94,439.51,722.52,164.63,182.96,121.48,833.5,58.8,0.9,0.56,0.86,1.33,1.37,1.21,0.78,0.13,0.1,0.21,0.03
9,7.02,929.27,517.52,518.59,733.17,218.94,856.43,106.92,1.38,1.32,0.87,0.96,0.83,1.2,1.42,0.16,0.02,0.84,0.01
10,2.97,310.69,373.37,778.79,584.14,308.05,899.81,988.64,0.82,1.4,1.31,0.73,0.68,0.72,1.48,0.17,0.03,0.88,-0.03
11,7.51,324.68,863.43,663.2,877.91,352.1,557.56,846.38,1.39,1.44,1.11,0.99,0.76,0.62,1.06,0.22,0.06,0.58,-0.01
12,9.46,522.28,806.41,80.88,64.62,506.52,72.68,932.32,0.59,0.98,0.74,1.05,0.75,1.15,1.33,0.02,0.12,0.08,0.03
13,10.52,403.62,114.21,858.49,173.97,281.32,695.17,686.29,0.7,0.52,1.31,0.81,0.87,0.64,1.45,0.16,0.09,0.24,0.01
14,10.74,700.77,232.97,329.6,871.9,62.7,829.4,329.02,1.14,0.96,0.82,1.44,0.56,0.67,1.15,0.12,0.04,0.55,-0.01
15,12.55,594.04,146.25,487.63,462.9,243.85,862.18,68.64,1.08,1.01,1.18,1.0,1.45,0.83,1.47,0.18,0.02,0.66,-0.05
16,14.21,680.03,170.31,757.05,344.76,250.2,298.42,993.81,1.01,1.27,0.83,1.02,1.03,1.47,1.24,0.19,0.15,0.99,-0.03
17,0.26,517.16,791.53,526.62,623.25,441.61,55.02,925.93,0.73,1.02,1.28,1.15,0.63,1.05,1.36,0.02,0.07,0.17,0.03
18,7.63,270.87,678.94,980.47,790.2,532.39,778.36,969.08,0.53,0.63,1.48,1.39,1.01,0.82,1.03,0.21,0.11,0.33,-0.01
19,10.49,592.75,351.07,780.7,340.33,475.81,903.96,166.06,1.35,1.49,0.54,0.69,1.19,0.84,0.83,0.16,0.06,0.12,-0.03
20,13.15,956.01,621.9,841.9,70.34,540.38,776.4,87.55,0.66,0.77,0.94,1.14,0.51,1.35,0.59,0.17,0.12,0.0,0.0
21,0.3,132.7,549.13,176.88,832.01,997.72,512.58,778.94,1.38,0.69,1.48,0.88,1.45,0.67,0.67,0.15,0.05,0.69,-0.03
22,12.18,770.18,567.89,815.36,650.73,413.33,647.8,300.78,1.11,0.57,1.28,0.99,1.04,0.5,1.47,0.16,0.1,0.97,-0.02
23,10.84,757.88,128.9,882.88,301.18,262.37,548.95,288.93,1.19,1.41,1.42,1.21,1.22,0.63,1.24,0.16,0.11,0.29,-0.03
24,10.47,462.02,829.85,516.72,326.0,836.78,837.04,787.15,0.83,1.15,1.01,1.2,1.42,0.85,1.25,0.24,0.14,0.34,-0.03
25,6.19,292.46,530.96,135.97,811.98,124.25,503.28,847.2,1.14,1.48,1.48,0.77,1.32,1.14,0.76,0.06,0.06,0.55,0.05
26,17.97,155.93,126.75,564.66,243.0,308.07,335.8,678.14,0.66,1.06,1.41,0.67,1.25,1.11,1.39,0.02,0.06,0.06,0.04
27,11.14,951.44,963.6,949.84,112.63,360.85,152.66,702.11,1.1,0.91,0.92,1.11,0.79,1.18,1.38,0.06,0.01,0.48,0.03
28,11.61,609.35,376.33,411.44,715.34,62.79,848.45,795.77,0.75,0.5,0.87,0.76,0.92,0.78,1.2,0.15,0.13,1.0,-0.01
29,2.46,588.08,425.14,447.63,739.45,385.74,730.91,343.73,1.43,1.25,0.97,0.9,1.15,1.21,0.96,0.11,0.06,0.09,-0.05
30,6.27,428.72,526.92,431.5,642.96,682.83,224.17,442.57,0.58,0.97,1.24,1.37,0.89,0.79,0.65,0.24,0.13,0.36,-0.0
31,4.89,337.79,76.71,330.33,907.67,95.73,777.64,760.04,0.61,0.61,0.69,1.17,0.98,1.03,0.81,0.14,0.11,0.79,0.01
32,19.34,345.62,455.59,669.54,794.83,82.6,625.59,309.28,0.58,1.12,0.71,0.96,1.16,1.27,0.51,0.09,0.04,0.75,-0.04
33,12.4,135.71,232.22,614.91,509.34,278.33,485.86,773.29,1.48,0.54,1.34,1.36,1.02,0.73,1.13,0.15,0.04,0.32,-0.0
34,3.45,899.24,285.53,407.97,114.3,784.36,479.84,682.4,1.38,0.86,0.99,0.64,0.6,1.31,0.68,0.16,0.07,0.43,0.04
